Column,Description,Python code
Speechiness,'Speechiness' is not null,".isComplete(""Speechiness"")"
Speechiness,'Speechiness' has no negative values,".isNonNegative(""Speechiness"")"
Speechiness,'Speechiness' has type Fractional,".hasDataType(""Speechiness"", ConstrainableDataTypes.Fractional)"
Duration,'Duration' is not null,".isComplete(""Duration"")"
Duration,'Duration' has no negative values,".isNonNegative(""Duration"")"
Duration,'Duration' has type Integral,".hasDataType(""Duration"", ConstrainableDataTypes.Integral)"
Duration,'Duration' is unique,".isUnique(""Duration"")"
Acousticness,'Acousticness' is not null,".isComplete(""Acousticness"")"
Acousticness,'Acousticness' has no negative values,".isNonNegative(""Acousticness"")"
Acousticness,'Acousticness' has type Fractional,".hasDataType(""Acousticness"", ConstrainableDataTypes.Fractional)"
Acousticness,'Acousticness' is unique,".isUnique(""Acousticness"")"
Rank,'Rank' is not null,".isComplete(""Rank"")"
Rank,'Rank' has no negative values,".isNonNegative(""Rank"")"
Rank,'Rank' has type Integral,".hasDataType(""Rank"", ConstrainableDataTypes.Integral)"
Rank,'Rank' is unique,".isUnique(""Rank"")"
Valence,'Valence' is not null,".isComplete(""Valence"")"
Valence,'Valence' has no negative values,".isNonNegative(""Valence"")"
Valence,'Valence' has type Fractional,".hasDataType(""Valence"", ConstrainableDataTypes.Fractional)"
Valence,'Valence' is unique,".isUnique(""Valence"")"
Release,'Release' is not null,".isComplete(""Release"")"
Artist1,'Artist1' is not null,".isComplete(""Artist1"")"
Popularity,'Popularity' is not null,".isComplete(""Popularity"")"
Popularity,"'Popularity' has value range '71', '72', '68', '64', '80', '57', '54', '67', '74', '70', '39', '76', '83', '37', '40', '77', '62', '78', '66', '75', '69', '36', '79', '61', '50', '55', '56', '73', '85', '63', '41', '86' for at least 84.0% of values",".isContainedIn(""Popularity"", [""71"", ""72"", ""68"", ""64"", ""80"", ""57"", ""54"", ""67"", ""74"", ""70"", ""39"", ""76"", ""83"", ""37"", ""40"", ""77"", ""62"", ""78"", ""66"", ""75"", ""69"", ""36"", ""79"", ""61"", ""50"", ""55"", ""56"", ""73"", ""85"", ""63"", ""41"", ""86""], lambda x: x >= 0.84, ""It should be above 0.84!"")"
Popularity,'Popularity' has no negative values,".isNonNegative(""Popularity"")"
Popularity,'Popularity' has type Integral,".hasDataType(""Popularity"", ConstrainableDataTypes.Integral)"
Energy,'Energy' is not null,".isComplete(""Energy"")"
Energy,'Energy' has no negative values,".isNonNegative(""Energy"")"
Energy,'Energy' has type Fractional,".hasDataType(""Energy"", ConstrainableDataTypes.Fractional)"
Album,'Album' is not null,".isComplete(""Album"")"
Album,'Album' is unique,".isUnique(""Album"")"
Track,'Track' is not null,".isComplete(""Track"")"
Track,'Track' is unique,".isUnique(""Track"")"
Mode,"'Mode' has value range '1', '0'",".isContainedIn(""Mode"", [""1"", ""0""])"
Mode,'Mode' is not null,".isComplete(""Mode"")"
Mode,'Mode' has no negative values,".isNonNegative(""Mode"")"
Mode,'Mode' has type Integral,".hasDataType(""Mode"", ConstrainableDataTypes.Integral)"
Danceability,'Danceability' is not null,".isComplete(""Danceability"")"
Danceability,'Danceability' has no negative values,".isNonNegative(""Danceability"")"
Danceability,'Danceability' has type Fractional,".hasDataType(""Danceability"", ConstrainableDataTypes.Fractional)"
Tempo,'Tempo' is not null,".isComplete(""Tempo"")"
Tempo,'Tempo' has no negative values,".isNonNegative(""Tempo"")"
Tempo,'Tempo' has type Fractional,".hasDataType(""Tempo"", ConstrainableDataTypes.Fractional)"
Tempo,'Tempo' is unique,".isUnique(""Tempo"")"
Liveness,'Liveness' is not null,".isComplete(""Liveness"")"
Liveness,'Liveness' has no negative values,".isNonNegative(""Liveness"")"
Liveness,'Liveness' has type Fractional,".hasDataType(""Liveness"", ConstrainableDataTypes.Fractional)"
Loudness,'Loudness' is not null,".isComplete(""Loudness"")"
Loudness,'Loudness' has type Fractional,".hasDataType(""Loudness"", ConstrainableDataTypes.Fractional)"
Loudness,'Loudness' is unique,".isUnique(""Loudness"")"
Instrumentalness,'Instrumentalness' is not null,".isComplete(""Instrumentalness"")"
Instrumentalness,'Instrumentalness' has no negative values,".isNonNegative(""Instrumentalness"")"
Instrumentalness,'Instrumentalness' has type Fractional,".hasDataType(""Instrumentalness"", ConstrainableDataTypes.Fractional)"
Key,"'Key' has value range '8', '0', '1', '6', '9', '7', '2', '3', '5', '4', '10', '11'",".isContainedIn(""Key"", [""8"", ""0"", ""1"", ""6"", ""9"", ""7"", ""2"", ""3"", ""5"", ""4"", ""10"", ""11""])"
Key,'Key' is not null,".isComplete(""Key"")"
Key,"'Key' has value range '8', '0', '1', '6', '9', '7', '2', '3', '5', '4' for at least 86.0% of values",".isContainedIn(""Key"", [""8"", ""0"", ""1"", ""6"", ""9"", ""7"", ""2"", ""3"", ""5"", ""4""], lambda x: x >= 0.86, ""It should be above 0.86!"")"
Key,'Key' has no negative values,".isNonNegative(""Key"")"
Key,'Key' has type Integral,".hasDataType(""Key"", ConstrainableDataTypes.Integral)"
